,33,34,35,41,44,45,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,80,82,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,107,108,109,113,114,116,117,118,119,120,121,122,123,124,125,126,127,131,132,134,135,136,137,138,139,142,143,145,148,149,155,157,158,159,160,162,163,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,185,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
params,"{'w': 0.6207288843270163, 'scale1': 320.1780068111924, 'scale2': 30336.76080875841}","{'w': 0.5693440452881368, 'scale1': 221.8704613493241, 'scale2': 10734.03243204973}","{'w': 0.470036927567327, 'scale1': 2183.9144765981764, 'scale2': 21262.802681309102}","{'w': 0.9879080387209906, 'scale1': 281570.89930014114, 'scale2': 57505.94738758545}","{'w': 0.9875328731334578, 'scale1': 299290.9356742276, 'scale2': 53419.08387035453}","{'w': 0.8411210575611637, 'scale1': 1465.3883773418752, 'scale2': 1460.5609830876358}","{'w': 0.6422871321724887, 'scale1': 1239.1067808578512, 'scale2': 936.535947944688}","{'w': 0.39328953631739266, 'scale1': 41.07225759005166, 'scale2': 996.417652095649}","{'w': 0.5470696799352457, 'scale1': 951.377065764603, 'scale2': 86.64235925362992}","{'w': 0.6469987791346441, 'scale1': 588.9132565955371, 'scale2': 17.26949583786348}","{'w': 0.2670422617912422, 'scale1': 39.38772920962409, 'scale2': 3889.688085213225}","{'w': 0.29709269511610736, 'scale1': 24.781252859759157, 'scale2': 505.17431486127487}","{'w': 0.23802677073440368, 'scale1': 6.303154281591966, 'scale2': 347.0914695808092}","{'w': 0.28755349843536626, 'scale1': 213.26056269709483, 'scale2': 1247.2959345961594}","{'w': 0.15545293020482778, 'scale1': 2.5982913093376547, 'scale2': 167.35830989507804}","{'w': 0.11487116368098481, 'scale1': 3.2932466879090505, 'scale2': 345.47916819283466}","{'w': 0.8599581969083403, 'scale1': 300.24107503314184, 'scale2': 3.6459469340347814}","{'w': 0.8490790417952302, 'scale1': 147.65056159045676, 'scale2': 15584.315530463517}","{'w': 0.36402525079331677, 'scale1': 56.377403728608165, 'scale2': 1103.065747120564}","{'w': 0.1315812206583572, 'scale1': 2.928115143494574, 'scale2': 1046.7021015203236}","{'w': 0.2711794978025008, 'scale1': 25.757635421747132, 'scale2': 882.1447105523018}","{'w': 0.3818241238911701, 'scale1': 61.1588782680007, 'scale2': 2057.0978046989544}","{'w': 0.5786282205843813, 'scale1': 13279.324301067065, 'scale2': 179.77298986483285}","{'w': 0.2792787791544732, 'scale1': 47.20800433782748, 'scale2': 679.3977000751146}","{'w': 0.5461217023670364, 'scale1': 481.785015742942, 'scale2': 22.163102947442034}","{'w': 0.2868469846526156, 'scale1': 80.881031969906, 'scale2': 1944.7494712990786}","{'w': 0.2973385101177301, 'scale1': 21.949118869920035, 'scale2': 161.85132728549934}","{'w': 0.24138014548843834, 'scale1': 21.164005327472477, 'scale2': 645.4665361183859}","{'w': 0.7219034063688259, 'scale1': 233.98363938175177, 'scale2': 16036.500119790458}","{'w': 0.39168359292876537, 'scale1': 159.88919422632077, 'scale2': 3037.7532011321073}","{'w': 0.3872589123038181, 'scale1': 48943.605496023956, 'scale2': 1689.5423606392744}","{'w': 0.00460473377281647, 'scale1': 14620.447884954534, 'scale2': 12759.840756859394}","{'w': 0.2741642379493737, 'scale1': 225.99556481598776, 'scale2': 5280.107118987392}","{'w': 0.5492072471151128, 'scale1': 125.33712313892052, 'scale2': 3577.7511253713374}","{'w': 0.4127409561663567, 'scale1': 118.26869340746931, 'scale2': 975.5822114173906}","{'w': 0.6450367129284501, 'scale1': 307.43968847404005, 'scale2': 8578.537694624061}","{'w': 0.3228476449240968, 'scale1': 13832.317263016992, 'scale2': 674.0693031289647}","{'w': 0.39293027682022813, 'scale1': 3.1836336483534637, 'scale2': 326.7333582617924}","{'w': 0.5643332586044422, 'scale1': 82.03730885537499, 'scale2': 849.7285616831458}","{'w': 0.5807247850252593, 'scale1': 20.643432437117145, 'scale2': 325.0780875582116}","{'w': 0.6993641222222297, 'scale1': 36.24142921395549, 'scale2': 837.8059416897512}","{'w': 0.37783064985937376, 'scale1': 49.02261335874042, 'scale2': 690.3466862182668}","{'w': 0.6008523185245555, 'scale1': 97.04142411371215, 'scale2': 2019.4812186848596}","{'w': 0.3638948436792648, 'scale1': 14703.865350888598, 'scale2': 431.2413259179833}","{'w': 0.17720252614085377, 'scale1': 71.54373609106563, 'scale2': 534.3826936608385}","{'w': 0.24380905675923445, 'scale1': 101.6327998838916, 'scale2': 3627.9888866447886}","{'w': 0.44805627385909663, 'scale1': 192.10242306573954, 'scale2': 7191.040179043766}","{'w': 0.4655762861464856, 'scale1': 75.79315963825354, 'scale2': 2425.3325111652352}","{'w': 0.4265430134384564, 'scale1': 242.9477668586529, 'scale2': 6069.011021366383}","{'w': 0.6110721646562591, 'scale1': 17579.470307699692, 'scale2': 571.3481925766154}","{'w': 0.13629944826002144, 'scale1': 656.3967751079019, 'scale2': 16047.20070242992}","{'w': 0.8115954769629248, 'scale1': 15237.739952962891, 'scale2': 175.34999739778982}","{'w': 0.6131875748795101, 'scale1': 851.8237367053799, 'scale2': 34.03405975106967}","{'w': 0.19716143807686537, 'scale1': 44.7329893379776, 'scale2': 1265.6648358280677}","{'w': 0.9514137479373157, 'scale1': 21221.224114500317, 'scale2': 17953.520115963962}","{'w': 0.3550431165383208, 'scale1': 141.09537697808574, 'scale2': 3502.4270855245786}","{'w': 0.7577050081701946, 'scale1': 402.5253124433852, 'scale2': 4395.092594192228}","{'w': 0.14090795958812027, 'scale1': 28.26336828761063, 'scale2': 877.6276642319223}","{'w': 0.5827330243900449, 'scale1': 414.5308333382691, 'scale2': 1787.856793433439}","{'w': 0.427166338458015, 'scale1': 4766.834053079844, 'scale2': 522.5119290729031}","{'w': 0.0008867779706528117, 'scale1': 2809.2993379547474, 'scale2': 2658.732993468715}","{'w': 0.4310418489648094, 'scale1': 92087.13715239993, 'scale2': 424.01260755545}","{'w': 0.6337319783443259, 'scale1': 1142.0803926227911, 'scale2': 67.87760720441813}","{'w': 0.0009592036730855314, 'scale1': 679.3472703362952, 'scale2': 693.9936036842181}","{'w': 0.0819194587764477, 'scale1': 213.5978538991206, 'scale2': 44596.258161727616}","{'w': 0.2889466693723492, 'scale1': 746.4456040330981, 'scale2': 47327.99208458163}","{'w': 0.49038371627657995, 'scale1': 957.9985143871526, 'scale2': 85156.87780401637}","{'w': 0.03675735886798098, 'scale1': 9477.339928394995, 'scale2': 10510.383914793885}","{'w': 0.48043920885533714, 'scale1': 2785.5360015314886, 'scale2': 30196.666355872105}","{'w': 0.9324760264262886, 'scale1': 23131.780218059183, 'scale2': 65.22684368485582}","{'w': 0.5829914546235838, 'scale1': 13157.606378226708, 'scale2': 55393.131628293944}","{'w': 0.47108660130541696, 'scale1': 3787.737547769003, 'scale2': 55936.27562966046}","{'w': 0.7191671035447207, 'scale1': 11278.438508491912, 'scale2': 701.6703234836025}","{'w': 0.6099298845928778, 'scale1': 5618.143993706975, 'scale2': 39202.44563403277}","{'w': 0.273093353206174, 'scale1': 684.7174436653718, 'scale2': 51450.23618875146}","{'w': 0.018556005491959057, 'scale1': 3373.099397585307, 'scale2': 3630.5877713696136}","{'w': 0.07254220384643195, 'scale1': 17241.794572039405, 'scale2': 102831.94528967126}","{'w': 0.1467532527563148, 'scale1': 1103.8956780290343, 'scale2': 48886.61083608434}","{'w': 0.02924864526419329, 'scale1': 18325.319567599814, 'scale2': 15202.328395557513}","{'w': 0.36883325765369723, 'scale1': 24.056073970880934, 'scale2': 371.8892054614208}","{'w': 0.5891145597874821, 'scale1': 13150.120929581219, 'scale2': 202.10044669900302}","{'w': 0.7980227065386571, 'scale1': 5348.736281981659, 'scale2': 87.35443368422062}","{'w': 0.6768346065405093, 'scale1': 556.6544035406945, 'scale2': 26.686536103057747}","{'w': 0.2846079059867874, 'scale1': 18.394009694733274, 'scale2': 2098.6937366983666}","{'w': 0.06519190150042645, 'scale1': 6.4125613549875125, 'scale2': 10306.662906783044}","{'w': 0.858800478187286, 'scale1': 5285.088230414075, 'scale2': 72.44740800837553}","{'w': 0.21381162718526125, 'scale1': 76.94010485921046, 'scale2': 1958.937988853261}","{'w': 0.7425161064888711, 'scale1': 3821.285986802901, 'scale2': 352.3649853643079}","{'w': 0.2903916784481452, 'scale1': 95.82918497828342, 'scale2': 868.2497134665061}","{'w': 0.34051572404054664, 'scale1': 13176.086714963918, 'scale2': 567.6993487179994}","{'w': 0.43311371756569655, 'scale1': 270936.76631565974, 'scale2': 54.11684835287596}","{'w': 0.781687229522645, 'scale1': 7697.687317408631, 'scale2': 558690.9834242229}","{'w': 5.462106960258441e-06, 'scale1': 108.2270515883477, 'scale2': 415.68124499631176}","{'w': 0.7451060901282829, 'scale1': 11397.788883324623, 'scale2': 552.418034593281}","{'w': 0.6638098117244053, 'scale1': 3293.4782968686354, 'scale2': 411.54864162924474}","{'w': 0.6946659780450353, 'scale1': 1922.2570482287972, 'scale2': 57.797696890972574}","{'w': 0.30443442194587667, 'scale1': 14.550960904780762, 'scale2': 1010.3466900306383}","{'w': 0.15869288295902878, 'scale1': 10.916072139547616, 'scale2': 791.2433439198621}","{'w': 0.9280604790427381, 'scale1': 1027.2014400323364, 'scale2': 11.212858783215262}","{'w': 0.86412370650627, 'scale1': 230.74047537773967, 'scale2': 9.948985382217003}","{'w': 0.635027631681774, 'scale1': 2036.1155976870582, 'scale2': 177.10107830939046}","{'w': 0.26877565082377874, 'scale1': 125.25619134177906, 'scale2': 1416.31785826075}","{'w': 0.6369217306807717, 'scale1': 61.22805254251392, 'scale2': 636.8160279333564}","{'w': 0.429787731297754, 'scale1': 5250.342428177515, 'scale2': 1024.704741077985}","{'w': 0.19182335622870456, 'scale1': 24.30855411521584, 'scale2': 1074.0418344663901}","{'w': 0.6789575608135445, 'scale1': 734.7984821303045, 'scale2': 19.57236896835489}","{'w': 0.2663501786317674, 'scale1': 27.456818869366348, 'scale2': 445.31074858983783}","{'w': 0.4726991669987629, 'scale1': 194.45470057648723, 'scale2': 5507.997038241288}","{'w': 0.7716105888557053, 'scale1': 526.4864691085036, 'scale2': 50.11257477417072}","{'w': 0.3653534903825945, 'scale1': 53.979508426694665, 'scale2': 1013.9471250833936}","{'w': 0.38309907494932627, 'scale1': 216.76789462329768, 'scale2': 4024.0557999709804}","{'w': 0.38145167053804674, 'scale1': 48.64575226739354, 'scale2': 950.2259315689515}","{'w': 0.37529609713410306, 'scale1': 63.83761529011879, 'scale2': 871.2038269817716}","{'w': 0.7280784182966228, 'scale1': 28667.05904695057, 'scale2': 426.1692084433745}","{'w': 0.6982347149496285, 'scale1': 15677.067891698844, 'scale2': 332.0980720844213}","{'w': 0.14148833048317866, 'scale1': 1142.9187815900834, 'scale2': 12985.0172563319}","{'w': 0.8354303691193051, 'scale1': 13159.548902974024, 'scale2': 4420.3417220032}","{'w': 0.9873393134377138, 'scale1': 1568.9007183280141, 'scale2': 1569.7531638900566}","{'w': 0.0777587662778488, 'scale1': 1113.1318064036457, 'scale2': 34566.365311090456}","{'w': 0.0729734893460751, 'scale1': 49.02317337526933, 'scale2': 10816.783190635093}","{'w': 0.7734525143518457, 'scale1': 16941.159427130802, 'scale2': 448.5348713340653}","{'w': 0.14756914670149535, 'scale1': 863.124774716044, 'scale2': 13262.802156022224}","{'w': 0.7004039319142236, 'scale1': 38652.509952690445, 'scale2': 1923.4191325807649}","{'w': 0.26229648517000514, 'scale1': 15071.833242745039, 'scale2': 125833.06590905265}","{'w': 0.6373251034001777, 'scale1': 54975.4703987923, 'scale2': 2434.4642869335175}","{'w': 0.27185903588455596, 'scale1': 59148.876665896896, 'scale2': 1460.0618713284225}","{'w': 0.912104918734877, 'scale1': 13388.971110325147, 'scale2': 186.832456755191}","{'w': 0.15607354710571839, 'scale1': 167.85327058930682, 'scale2': 28260.995344572468}","{'w': 0.7815713472116481, 'scale1': 10749.514342798468, 'scale2': 189.8975599896023}","{'w': 0.31374306513351946, 'scale1': 169.17941510485983, 'scale2': 8581.176794784526}","{'w': 0.1734739833746064, 'scale1': 24.768553183077618, 'scale2': 2992.124566351604}","{'w': 0.07960194359090197, 'scale1': 64.73021972346872, 'scale2': 6748.517672328084}","{'w': 0.2557659592509924, 'scale1': 34.339206368118795, 'scale2': 8604.937091536121}","{'w': 0.7745904987252714, 'scale1': 7492.114231573794, 'scale2': 315.1292642492104}","{'w': 0.16251861647958155, 'scale1': 92.84925945756703, 'scale2': 4156.361557710751}","{'w': 0.21900414367570278, 'scale1': 168.25294501386765, 'scale2': 3742.021342981828}","{'w': 0.08004127130148518, 'scale1': 13.634736520974162, 'scale2': 1158.601636099737}","{'w': 0.8903083434180397, 'scale1': 3013.0902300516823, 'scale2': 37.57761321878622}","{'w': 0.848936831807395, 'scale1': 3684.198619122555, 'scale2': 25.826954336075683}","{'w': 0.2801868767044831, 'scale1': 25.678129975411867, 'scale2': 1639.222377129514}","{'w': 0.2661637623413888, 'scale1': 121.3254620284996, 'scale2': 14674.806723714708}","{'w': 0.7232311746320385, 'scale1': 4137.016996622884, 'scale2': 378.33699149127125}","{'w': 0.09594498509396475, 'scale1': 44.06819357997903, 'scale2': 7787.776416247068}","{'w': 0.3837099395576164, 'scale1': 196.38163144509647, 'scale2': 2615.6391683935644}","{'w': 0.3594062547627108, 'scale1': 109.50375400425865, 'scale2': 1697.2182206800308}","{'w': 0.26170707583748426, 'scale1': 58.29971292631299, 'scale2': 1082.2742797260228}"
samples,3,2,17,1,1,1,3,33,31,28,22,31,26,3,19,31,30,18,22,24,34,33,24,32,33,27,33,34,6,31,13,1,15,27,8,28,4,3,9,34,34,34,34,32,14,16,31,34,33,29,20,31,34,32,3,27,6,22,2,2,3,2,3,1,18,12,8,3,8,20,9,17,16,7,11,1,19,7,7,29,34,34,34,32,17,32,34,30,31,5,2,5,1,16,3,13,16,10,27,28,23,22,30,2,12,28,31,20,14,13,29,26,24,26,5,19,2,1,20,19,31,22,18,4,16,4,16,21,24,7,34,27,18,34,34,30,32,33,27,21,21,29,29,26,33,34
