,Southern Arctic,Taiga Plains,Taiga Shield,Boreal Shield,Atlantic Maritime,Mixedwood Plains,Boreal Plains,Taiga Cordillera,Boreal Cordillera,Pacific Maritime,Montane Cordillera,Hudson Plains
w,0.557849747168811,0.6093692874673257,0.6533312197630349,0.9530429632747269,0.091425008505759,0.037332033522012094,0.5375261721018972,0.41971785191541433,0.44837468438638717,0.7583106350338289,0.2254511797376009,0.38895782523202477
scale1,290486.6317054136,87.09712565995248,122.07126332762043,163.8066861071681,580.1524273615626,2270.4764099975605,623.480238864188,221.41363650476563,142.22604229211026,21933.381036084556,115.20195441833087,118.95713699380482
scale2,15037.227691747566,1065.84030316935,536.0017200372114,162.8682576127702,23614.934665662422,106517.65493705511,101.88950035867845,2080.8466962058883,1225.987586597498,1239.93883074937,3589.711382392829,1195.239341878783
